"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\25000636\Downloads\aaa\aula pratica 2\ex1.py", "Python", 4, 0, 2, 6
"c:\Users\25000636\Downloads\aaa\aula pratica 2\ex2.py", "Python", 5, 0, 2, 7
"c:\Users\25000636\Downloads\aaa\aula pratica 2\ex3.py", "Python", 5, 0, 2, 7
"c:\Users\25000636\Downloads\aaa\aula pratica 2\ex4.py", "Python", 6, 0, 2, 8
"c:\Users\25000636\Downloads\aaa\aula pratica 3\ex1.py", "Python", 3, 0, 1, 4
"c:\Users\25000636\Downloads\aaa\aula pratica 3\ex2.py", "Python", 4, 0, 2, 6
"c:\Users\25000636\Downloads\aaa\aula pratica 3\ex3.py", "Python", 3, 0, 1, 4
"c:\Users\25000636\Downloads\aaa\aula pratica 3\ex4.py", "Python", 3, 0, 1, 4
"c:\Users\25000636\Downloads\aaa\aula pratica 3\ex5.py", "Python", 6, 0, 3, 9
"c:\Users\25000636\Downloads\aaa\aula pratica 3\ex6.py", "Python", 9, 0, 3, 12
"c:\Users\25000636\Downloads\aaa\aula pratica 3\ex7.py", "Python", 5, 0, 3, 8
"c:\Users\25000636\Downloads\aaa\aula pratica 3\ex8.py", "Python", 5, 0, 2, 7
"c:\Users\25000636\Downloads\aaa\aula pratica 4\ex1.py", "Python", 5, 0, 1, 6
"c:\Users\25000636\Downloads\aaa\aula pratica 4\ex10.py", "Python", 12, 0, 4, 16
"c:\Users\25000636\Downloads\aaa\aula pratica 4\ex11.py", "Python", 19, 0, 5, 24
"c:\Users\25000636\Downloads\aaa\aula pratica 4\ex2.py", "Python", 6, 0, 1, 7
"c:\Users\25000636\Downloads\aaa\aula pratica 4\ex3.py", "Python", 3, 0, 1, 4
"c:\Users\25000636\Downloads\aaa\aula pratica 4\ex4.py", "Python", 7, 0, 1, 8
"c:\Users\25000636\Downloads\aaa\aula pratica 4\ex5.py", "Python", 5, 0, 1, 6
"c:\Users\25000636\Downloads\aaa\aula pratica 4\ex6.py", "Python", 8, 0, 2, 10
"c:\Users\25000636\Downloads\aaa\aula pratica 4\ex7.py", "Python", 9, 0, 2, 11
"c:\Users\25000636\Downloads\aaa\aula pratica 4\ex8.py", "Python", 10, 0, 3, 13
"c:\Users\25000636\Downloads\aaa\aula pratica 4\ex9.py", "Python", 4, 0, 1, 5
"c:\Users\25000636\Downloads\aaa\aula teorica 1\ex1.py", "Python", 5, 0, 3, 8
"c:\Users\25000636\Downloads\aaa\aula teorica 1\ex2.py", "Python", 4, 0, 3, 7
"c:\Users\25000636\Downloads\aaa\aula teorica 1\ex3.py", "Python", 4, 0, 2, 6
"c:\Users\25000636\Downloads\aaa\aula teorica 1\ex4.py", "Python", 3, 0, 2, 5
"c:\Users\25000636\Downloads\aaa\aula teorica 1\ex5.py", "Python", 4, 0, 2, 6
"c:\Users\25000636\Downloads\aaa\aula teorica 1\ex6.py", "Python", 6, 0, 4, 10
"c:\Users\25000636\Downloads\aaa\aula teorica 1\ex7.py", "Python", 4, 0, 2, 6
"c:\Users\25000636\Downloads\aaa\aula teorica 1\ex8.py", "Python", 5, 0, 3, 8
"c:\Users\25000636\Downloads\aaa\aula teorica 1\ex9.py", "Python", 44, 0, 12, 56
"Total", "-", 225, 0, 79, 304
